X:Vel_RX-GEAR22-jiandanjiaolian(rad/s),X:Vel_RY-GEAR22-jiandanjiaolian(rad/s),X:Vel_RZ-GEAR22-jiandanjiaolian(rad/s),X:Acc_RX-GEAR22-jiandanjiaolian(rad/s^2),X:Acc_RY-GEAR22-jiandanjiaolian(rad/s^2),X:Acc_RZ-GEAR22-jiandanjiaolian(rad/s^2),Y:Vel_RX-GEAR22-jiandanjiaolian(rad/s),Y:Vel_RY-GEAR22-jiandanjiaolian(rad/s),Y:Vel_RZ-GEAR22-jiandanjiaolian(rad/s),Y:Acc_RX-GEAR22-jiandanjiaolian(rad/s^2),Y:Acc_RY-GEAR22-jiandanjiaolian(rad/s^2),Y:Acc_RZ-GEAR22-jiandanjiaolian(rad/s^2)
0.11775300,0.11775300,0.11775300,0.11775300,0.11775300,0.11775300,-1.0495307,-3.6121606e-15,3.7286819e-15,-0.00082973725,-2.8556995e-18,2.9478189e-18
0.11875300,0.11875300,0.11875300,0.11875300,0.11875300,0.11875300,-1.0495309,-3.6121613e-15,3.7286826e-15,-0.00041486863,-1.4278498e-18,1.4739094e-18
0.11975300,0.11975300,0.11975300,0.11975300,0.11975300,0.11975300,-1.0495310,-3.6121617e-15,3.7286830e-15,-0.00020743431,-7.1392489e-19,7.3695472e-19
0.12075300,0.12075300,0.12075300,0.12075300,0.12075300,0.12075300,-1.0495310,-3.6121619e-15,3.7286832e-15,-0.00010371716,-3.5696244e-19,3.6847736e-19
0.12175300,0.12175300,0.12175300,0.12175300,0.12175300,0.12175300,-1.0495310,-3.6121619e-15,3.7286833e-15,-5.1858578e-05,-1.7848122e-19,1.8423868e-19
0.12275300,0.12275300,0.12275300,0.12275300,0.12275300,0.12275300,-1.0495311,-3.6121620e-15,3.7286833e-15,-2.5929289e-05,-8.9240611e-20,9.2119340e-20
0.12375300,0.12375300,0.12375300,0.12375300,0.12375300,0.12375300,-1.0495311,-3.6121620e-15,3.7286834e-15,-1.2964645e-05,-4.4620305e-20,4.6059670e-20
0.12475300,0.12475300,0.12475300,0.12475300,0.12475300,0.12475300,-1.0495311,-3.6121620e-15,3.7286834e-15,-6.4823223e-06,-2.2310153e-20,2.3029835e-20
0.12575300,0.12575300,0.12575300,0.12575300,0.12575300,0.12575300,-1.0495311,-3.6121620e-15,3.7286834e-15,-3.2411611e-06,-1.1155076e-20,1.1514918e-20
0.12675300,0.12675300,0.12675300,0.12675300,0.12675300,0.12675300,-1.0495311,-3.6121620e-15,3.7286834e-15,-1.6205806e-06,-5.5775382e-21,5.7574588e-21
0.12775300,0.12775300,0.12775300,0.12775300,0.12775300,0.12775300,-1.0495311,-3.6121620e-15,3.7286834e-15,-8.1029029e-07,-2.7887691e-21,2.8787294e-21
0.12875300,0.12875300,0.12875300,0.12875300,0.12875300,0.12875300,-1.0495311,-3.6121620e-15,3.7286834e-15,-4.0514514e-07,-1.3943845e-21,1.4393647e-21
0.12975300,0.12975300,0.12975300,0.12975300,0.12975300,0.12975300,-1.0149435,-3.4931221e-15,3.6058035e-15,23.058409,7.9359927e-14,-8.1919924e-14
0.13075300,0.13075300,0.13075300,0.13075300,0.13075300,0.13075300,-0.94042499,-3.2366526e-15,3.3410607e-15,57.365111,1.9743301e-13,-2.0380181e-13
0.13125300,0.13125300,0.13125300,0.13125300,0.13125300,0.13125300,-0.89428713,-3.0778603e-15,3.1771461e-15,80.638862,2.7753407e-13,-2.8648679e-13
0.13225300,0.13225300,0.13225300,0.13225300,0.13225300,0.13225300,-0.87916734,-3.0258226e-15,3.1234298e-15,20.159715,6.9383519e-14,-7.1621697e-14
0.13325300,0.13325300,0.13325300,0.13325300,0.13325300,0.13325300,-0.87538739,-3.0128132e-15,3.1100008e-15,5.0399289,1.7345880e-14,-1.7905424e-14
0.13425300,0.13425300,0.13425300,0.13425300,0.13425300,0.13425300,-0.87444241,-3.0095609e-15,3.1066435e-15,1.2599822,4.3364699e-15,-4.4763560e-15
0.13525300,0.13525300,0.13525300,0.13525300,0.13525300,0.13525300,-0.87420616,-3.0087478e-15,3.1058042e-15,0.31499555,1.0841175e-15,-1.1190890e-15
